direction,entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,signal_type,has_fvg,timestamp,ml_score,smc_ok,volume_spike,funding_rate,orderbook_imbalance,ema_position,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,exit_time,exit_price,pnl,exit_reason
LONG,3.019,3.0858,3.019,2.05,TREND,39.4747,0.0343,32.0833,7.2917,4,BOS,False,2025-03-17 18:00:00,0.9,True,True,,,ABOVE,8.707458998760995,0.2838631633596081,FILUSDT,2,0.7361963190184064,0.03259999999999996,2025-03-17 20:00:00,3.019,-0.0,stop_loss
LONG,6.753,6.822,6.719,2.03,RANGE,16.8371,0.0543,13.6842,24.2105,4,SWEEP,False,2025-03-23 13:00:00,0.62,False,True,,,,6.4936017762002205,0.22078246039080626,UNIUSDT,1,0.0,0.03399999999999981,2025-03-23 14:00:00,6.719,-0.22078246039080626,stop_loss
SHORT,292.0,282.1929,296.7839,2.05,TREND,39.9388,5.0357,17.5887,32.766,4,BOS,False,2025-04-02 22:00:00,0.9,True,True,,,BELOW,0.05920634734931732,0.2832372450844001,BCHUSDT,2,0.0,4.783900000000017,2025-04-03 00:00:00,296.7839,-0.2832372450844001,stop_loss
SHORT,0.6755,0.651,0.6755,2.05,TREND,39.9459,0.0126,10.3292,39.16,4,BOS,False,2025-04-03 10:00:00,0.9,True,True,,,BELOW,23.536188957882135,0.2824342674945859,OPUSDT,2,1.2999999999999945,0.01200000000000001,2025-04-03 12:00:00,0.6755,-0.0,stop_loss
SHORT,142.1,138.8059,142.1,2.05,TREND,39.3694,1.6914,3.8007,46.1149,5,BOS,False,2025-04-06 16:00:00,0.9,True,True,,,BELOW,0.17576343736049946,0.2824342674945859,AAVEUSDT,1,2.3461323044371096,1.606899999999996,2025-04-06 17:00:00,138.8059,0.5789823390092188,take_profit
SHORT,4.564,4.4502,4.564,2.05,TREND,37.5555,0.0584,5.7457,46.6993,4,BOS,False,2025-04-06 16:00:00,0.98,True,True,,,BELOW,5.088905720623139,0.2824342674945859,APTUSDT,1,1.6216216216216095,0.05550000000000033,2025-04-06 17:00:00,4.4502,0.579117471006915,take_profit
LONG,4.754,4.9567,4.6551,2.05,TREND,35.3395,0.1041,39.8765,11.3246,4,BOS,False,2025-04-09 17:00:00,0.98,True,True,,,ABOVE,3.37044550588453,0.3333370605319785,APTUSDT,7,0.4550050556117394,0.09889999999999954,2025-04-10 00:00:00,4.6551,-0.3333370605319785,stop_loss
LONG,582.9,595.6979,576.6571,2.05,TREND,35.0923,6.5714,44.1304,8.2609,4,BOS,False,2025-04-09 17:00:00,0.98,True,True,,,ABOVE,0.05339458593473873,0.3333370605319785,BNBUSDT,7,0.0961091800285166,6.242899999999963,2025-04-10 00:00:00,576.6571,-0.3333370605319785,stop_loss
SHORT,1.95,1.8725,1.9878,2.05,TREND,35.987,0.0398,13.465,30.8797,4,BOS,False,2025-04-10 15:00:00,0.98,True,True,,,BELOW,8.760106769221137,0.3311320358765595,NEARUSDT,3,0.0,0.037800000000000056,2025-04-10 18:00:00,1.9878,-0.3311320358765595,stop_loss
SHORT,11.822,11.4098,12.0231,2.05,TREND,39.7043,0.2116,13.9386,29.6996,4,BOS,False,2025-04-10 15:00:00,0.9,True,True,,,BELOW,1.4113747355681991,0.28382745932276526,LINKUSDT,4,0.0,0.20110000000000028,2025-04-10 19:00:00,12.0231,-0.28382745932276526,stop_loss
